rank,name,score,country,year,category,votes,quote,douban_url,enable_urls
1,肖申克的救赎,9.7,美国,1994,犯罪;剧情,2683910,希望让人自由。,https://movie.douban.com/subject/1292052/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra0h3wg.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjgwNDkwNzE2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F1o29ui77e85grdr.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28274%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=bba17a94aa
2,霸王别姬,9.6,中国大陆 中国香港,1993,剧情;爱情;同性,1990896,风华绝代。,https://movie.douban.com/subject/1291546/,http%3A%2F%2Fwww.mgtv.com%2Fb%2F9015%2F4828668.html%3Fcxid%3D94l62sj44&subtype=7&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzA1NTAzNjAwMA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fj3czmhisqin799r.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fep317650&subtype=8&type=online-video&link2key=1e3e8989c9;https%3A%2F%2Fwww.1905.com%2Fvod%2Fplay%2F682663.shtml%3F__hz%3D6e0721b2c6977135%26api_source%3Ddouban_vodadd&subtype=13&type=online-video&link2key=1e3e8989c9;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F7Zxonsdr6nx%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=1e3e8989c9
3,阿甘正传,9.5,美国,1994,剧情;爱情,2015538,一部美国近现代史。,https://movie.douban.com/subject/1292720/,https%3A%2F%2Fm.miguvideo.com%2Fmgs%2Fmsite%2Fprd%2Fdetail.html%3Fcid%3D714205994%26pwId%3Dd01197d3076b4164af82983c408bb996&subtype=15&type=online-video&link2key=fba2c08e01;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrk3u264.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMTMzMDI2NjUzNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fr6hc2kqgvnmiejn.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss25568%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=fba2c08e01;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F80mXfTyDMFo%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=fba2c08e01
4,泰坦尼克号,9.4,美国 墨西哥 澳大利亚 加拿大,1997,剧情;爱情;灾难,1974639,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ft5jqhgw8pix81mw.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrny4w8w.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fwww.mgtv.com%2Fb%2F49027%2F592751.html%3Fcxid%3Dvb4rv4jhk&subtype=7&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F87JVLZvgGub%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=f98a810768
5,这个杀手不太冷,9.4,法国 美国,1994,剧情;动作;犯罪,2159383,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,
6,美丽人生,9.6,意大利,1997,剧情;喜剧;爱情;战争,1237460,最美的谎言。,https://movie.douban.com/subject/1292063/,http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F1weku8f23n0j12s.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrjqfdbc.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video
7,千与千寻,9.4,日本,2001,剧情;动画;奇幻,2091742,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/,
8,辛德勒的名单,9.6,美国,1993,剧情;历史;战争,1032430,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzU2MjYwNzQ0.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fdr37tbvercpqsko.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrhx0z4o.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;https%3A%2F%2Fwww.ixigua.com%2Fcinema%2Falbum%2F80e4Y4QTHKS%3Futm_source%3Ddouban&subtype=17&type=online-video&link2key=7be774ac8e
9,盗梦空间,9.4,美国 英国,2010,剧情;科幻;悬疑;冒险,1928635,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rra64i9c.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fh0meep6p766jgqh.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28586%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=d2997211df
10,星际穿越,9.4,美国 英国 加拿大,2014,剧情;科幻;冒险,1630682,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,http%3A%2F%2Fwww.iqiyi.com%2Fv_19rr7qhp7c.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&subtype=9&type=online-video;http%3A%2F%2Fwww.mgtv.com%2Fb%2F51294%2F1502690.html%3Fcxid%3Dvb4rv4jhk&subtype=7&type=online-video;http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XODkzNzA4ODM2.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&subtype=3&type=online-video;http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fc2seabnsfozypl8.html%3Fptag%3Ddouban.movie&subtype=1&type=online-video;https%3A%2F%2Fwww.bilibili.com%2Fbangumi%2Fplay%2Fss28585%3Fbsource%3Ddouban&subtype=8&type=online-video&link2key=02795b3754
